SaveID: a_theme1_latest
Timestamp: Mon May 12 15:55:17 2025
PlayerID: a
Tiles:
38 13
37 13
36 13
35 13
34 13
33 13
32 13
31 13
30 13
29 13
28 13
38 12
37 12
36 12
35 12
34 12
33 12
32 12
31 12
30 12
29 12
28 12
38 11
37 11
36 11
35 11
34 11
33 11
32 11
31 11
30 11
29 11
28 11
38 10
37 10
36 10
35 10
34 10
33 10
32 10
31 10
30 10
29 10
28 10
38 9
37 9
36 9
35 9
34 9
33 9
32 9
31 9
30 9
29 9
28 9
38 8
37 8
36 8
35 8
34 8
33 8
32 8
31 8
30 8
29 8
28 8
38 7
37 7
36 7
35 7
34 7
33 7
32 7
31 7
30 7
29 7
28 7
38 6
37 6
36 6
35 6
34 6
33 6
32 6
31 6
30 6
29 6
28 6
38 5
37 5
36 5
35 5
34 5
33 5
32 5
31 5
30 5
29 5
28 5
38 4
37 4
36 4
35 4
34 4
33 4
32 4
31 4
30 4
29 4
28 4
38 3
37 3
36 3
35 3
34 3
33 3
32 3
31 3
30 3
29 3
28 3
27 3
26 3
25 3
24 3
23 3
22 3
21 3
20 3
19 3
18 3
17 3
16 3
15 3
14 3
13 3
12 3
11 3
10 3
9 3
8 3
7 3
6 3
5 3
4 3
3 3
2 3
1 3
38 2
37 2
36 2
35 2
34 2
33 2
32 2
31 2
30 2
29 2
28 2
27 2
26 2
25 2
24 2
23 2
22 2
21 2
20 2
19 2
18 2
17 2
16 2
15 2
14 2
13 2
12 2
11 2
10 2
9 2
8 2
7 2
6 2
5 2
4 2
3 2
2 2
1 2
38 1
37 1
36 1
35 1
34 1
33 1
32 1
31 1
30 1
29 1
28 1
27 1
26 1
25 1
24 1
23 1
22 1
21 1
20 1
19 1
18 1
17 1
16 1
15 1
14 1
13 1
12 1
11 1
10 1
9 1
8 1
7 1
6 1
5 1
4 1
3 1
2 1
1 1
