SaveID: ali_theme3_latest
Timestamp: Tue May 13 23:25:11 2025
PlayerID: ali
PlayerPosition: 17 5
Enemy0Position: 312 304
Enemy1Position: 302 300
Enemy2Position: 288 300
Enemy3Position: 224 224
Tiles:
38 23
37 23
36 23
35 23
34 23
33 23
32 23
31 23
30 23
29 23
28 23
27 23
26 23
25 23
24 23
23 23
22 23
21 23
20 23
19 23
18 23
17 23
16 23
15 23
14 23
13 23
12 23
11 23
10 23
9 23
8 23
7 23
6 23
5 23
4 23
38 22
37 22
36 22
35 22
34 22
33 22
32 22
31 22
30 22
29 22
28 22
27 22
26 22
25 22
24 22
23 22
22 22
21 22
20 22
19 22
18 22
17 22
16 22
15 22
14 22
13 22
12 22
11 22
10 22
9 22
8 22
7 22
6 22
5 22
4 22
38 21
37 21
36 21
35 21
34 21
33 21
32 21
31 21
30 21
29 21
28 21
27 21
26 21
25 21
24 21
23 21
22 21
21 21
20 21
19 21
18 21
17 21
16 21
15 21
14 21
13 21
12 21
11 21
10 21
9 21
8 21
7 21
6 21
5 21
4 21
38 20
37 20
36 20
35 20
34 20
33 20
32 20
31 20
30 20
29 20
28 20
27 20
26 20
25 20
38 19
37 19
36 19
35 19
34 19
33 19
32 19
31 19
30 19
29 19
28 19
27 19
26 19
25 19
38 18
37 18
36 18
35 18
34 18
33 18
32 18
31 18
30 18
29 18
28 18
27 18
26 18
25 18
38 17
37 17
36 17
35 17
34 17
33 17
32 17
31 17
30 17
29 17
28 17
27 17
26 17
25 17
38 16
37 16
36 16
35 16
34 16
33 16
32 16
31 16
30 16
29 16
28 16
27 16
26 16
25 16
38 15
37 15
36 15
35 15
34 15
33 15
32 15
31 15
30 15
29 15
28 15
27 15
26 15
25 15
38 14
37 14
36 14
35 14
34 14
33 14
32 14
31 14
30 14
29 14
28 14
27 14
26 14
25 14
38 13
37 13
36 13
35 13
34 13
33 13
32 13
31 13
30 13
29 13
38 12
37 12
36 12
35 12
34 12
33 12
32 12
31 12
30 12
29 12
38 11
37 11
36 11
35 11
34 11
33 11
32 11
31 11
30 11
29 11
38 10
37 10
36 10
35 10
34 10
33 10
32 10
31 10
30 10
29 10
38 9
37 9
36 9
35 9
34 9
33 9
32 9
31 9
30 9
29 9
38 8
37 8
36 8
35 8
34 8
33 8
32 8
31 8
30 8
29 8
28 8
27 8
26 8
25 8
24 8
23 8
22 8
21 8
20 8
19 8
18 8
17 8
38 7
37 7
36 7
35 7
34 7
33 7
32 7
31 7
30 7
29 7
28 7
27 7
26 7
25 7
24 7
23 7
22 7
21 7
20 7
19 7
18 7
17 7
38 6
37 6
36 6
35 6
34 6
33 6
32 6
31 6
30 6
29 6
28 6
27 6
26 6
25 6
24 6
23 6
22 6
21 6
20 6
19 6
18 6
17 6
38 5
37 5
36 5
35 5
34 5
33 5
32 5
31 5
30 5
29 5
28 5
27 5
26 5
25 5
24 5
23 5
22 5
21 5
20 5
19 5
18 5
17 5
16 5
38 4
37 4
36 4
35 4
34 4
33 4
32 4
31 4
30 4
29 4
28 4
27 4
26 4
25 4
24 4
23 4
22 4
21 4
20 4
19 4
18 4
17 4
16 4
38 3
37 3
36 3
35 3
34 3
33 3
32 3
31 3
30 3
29 3
28 3
27 3
26 3
25 3
24 3
23 3
22 3
21 3
20 3
19 3
18 3
17 3
16 3
38 2
37 2
36 2
35 2
34 2
33 2
32 2
31 2
30 2
29 2
28 2
27 2
26 2
25 2
24 2
23 2
22 2
21 2
20 2
19 2
18 2
17 2
16 2
38 1
37 1
36 1
35 1
34 1
33 1
32 1
31 1
30 1
29 1
28 1
27 1
26 1
25 1
24 1
23 1
22 1
21 1
20 1
19 1
18 1
17 1
16 1
