SaveID: rauf_theme3_latest
Timestamp: Sun Jun  1 21:24:22 2025
PlayerID: rauf
PlayerPosition: 17 0
Enemy0Position: 114 238
Enemy1Position: 510 300
Enemy2Position: 102 300
Enemy3Position: 348 348
Tiles:
12 6
11 6
10 6
9 6
8 6
7 6
6 6
5 6
4 6
12 5
11 5
10 5
9 5
8 5
7 5
6 5
5 5
4 5
12 4
11 4
10 4
9 4
8 4
7 4
6 4
5 4
4 4
17 3
16 3
15 3
14 3
13 3
12 3
11 3
10 3
9 3
8 3
7 3
6 3
5 3
4 3
17 2
16 2
15 2
14 2
13 2
12 2
11 2
10 2
9 2
8 2
7 2
6 2
5 2
4 2
17 1
16 1
15 1
14 1
13 1
12 1
11 1
10 1
9 1
8 1
7 1
6 1
5 1
4 1
